Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-03-28,2018,3,28,Wednesday,12,2018-12,9.8,11.26,9.62,11.24,23929600,11.24,0.0,11.24,11.24
2018-03-29,2018,3,29,Thursday,12,2018-12,11.5,11.8,10.65,11.0,5863900,11.0,-0.021352293238907083,11.120000000000001,11.120000000000001
2018-04-02,2018,4,2,Monday,13,2018-13,11.05,11.5,10.91,11.0,2771000,11.0,0.0,11.08,11.08
2018-04-03,2018,4,3,Tuesday,13,2018-13,11.5,11.5,10.79,10.91,2509600,10.91,-0.008181832053444582,11.0375,11.0375
2018-04-04,2018,4,4,Wednesday,13,2018-13,10.75,11.08,10.55,10.97,1498200,10.97,0.005499580243434332,11.024000000000001,11.024000000000001
2018-04-05,2018,4,5,Thursday,13,2018-13,11.0,11.05,10.75,10.98,893300,10.98,0.0009115109356536699,11.016666666666666,11.016666666666666
2018-04-06,2018,4,6,Friday,13,2018-13,10.95,11.03,10.85,10.94,684700,10.94,-0.00364298392719975,11.005714285714287,11.005714285714287
2018-04-09,2018,4,9,Monday,14,2018-14,11.0,11.69,10.96,11.1,2648400,11.1,0.01462530230561665,11.0175,11.0175
2018-04-10,2018,4,10,Tuesday,14,2018-14,11.45,11.59,11.25,11.5,2198200,11.5,0.03603600043095767,11.071111111111112,11.071111111111112
2018-04-11,2018,4,11,Wednesday,14,2018-14,11.58,11.59,11.03,11.48,1497800,11.48,-0.001739170240319332,11.112,11.112
2018-04-12,2018,4,12,Thursday,14,2018-14,11.53,11.76,11.35,11.62,2075200,11.62,0.012195152343662974,11.158181818181818,11.158181818181818
2018-04-13,2018,4,13,Friday,14,2018-14,11.6,11.69,11.32,11.4,803800,11.4,-0.018932897521127923,11.178333333333333,11.178333333333333
2018-04-16,2018,4,16,Monday,15,2018-15,11.41,11.5,11.33,11.33,562000,11.33,-0.006140324312856715,11.19,11.19
2018-04-17,2018,4,17,Tuesday,15,2018-15,11.35,11.4,11.16,11.32,635100,11.32,-0.0008826327404390932,11.199285714285713,11.199285714285713
2018-04-18,2018,4,18,Wednesday,15,2018-15,11.44,11.5,11.29,11.35,582400,11.35,0.0026502374076233792,11.207142857142856,11.209333333333332
2018-04-19,2018,4,19,Thursday,15,2018-15,11.4,11.49,11.28,11.35,433000,11.35,0.0,11.232142857142858,11.218125
2018-04-20,2018,4,20,Friday,15,2018-15,11.25,11.31,11.06,11.19,625700,11.19,-0.01409698640606627,11.245714285714286,11.216470588235294
2018-04-23,2018,4,23,Monday,16,2018-16,11.29,11.46,11.05,11.19,867800,11.19,0.0,11.265714285714285,11.215
2018-04-24,2018,4,24,Tuesday,16,2018-16,11.25,11.52,11.21,11.29,1223300,11.29,0.008936584916860335,11.288571428571428,11.218947368421052
2018-04-25,2018,4,25,Wednesday,16,2018-16,11.19,11.29,10.82,10.9,1530200,10.9,-0.03454387463600517,11.282857142857143,11.203
2018-04-26,2018,4,26,Thursday,16,2018-16,11.06,11.19,10.85,11.0,343100,11.0,0.009174347244904846,11.287142857142857,11.193333333333333
