Year,Week_Number,mean_return,volatility
2018,12,-1.0675,1.509672977833279
2018,13,-0.10819999999999999,0.5132895868805445
2018,14,0.8440000000000001,2.0414229106189636
2018,15,-0.3694,0.6634725314585375
2018,16,-1.0375999999999999,2.277838734414708
2018,17,-1.1728,2.4689254140212498
2018,18,2.7936,1.6012428922558875
2018,19,2.579200000000001,8.60222847290166
2018,20,2.2362,6.115804746719764
2018,21,4.502750000000001,5.575943530022521
2018,22,2.5492,8.168794017478957
2018,23,0.8118000000000001,4.6125053604304895
2018,24,-2.992,8.100792492096067
2018,25,-3.2122,7.0884773893975295
2018,26,-1.15775,5.096142421806256
2018,27,0.9219999999999999,6.867067095929674
2018,28,0.9188000000000003,3.5534427953746492
2018,29,-3.3762,1.5590757518478695
2018,30,-1.7966000000000002,2.8764438635231526
2018,31,0.15139999999999998,1.35052482391106
2018,32,-0.771,2.8050383241588697
2018,33,0.5267999999999999,5.831529576363306
2018,34,3.492,7.157844228536969
2018,35,-2.16125,4.972802119194637
2018,36,3.01,4.924485201521069
2018,37,-1.5828,4.548754741684805
2018,38,1.6745999999999999,3.1341382069079216
2018,39,-0.0638,5.730420333623006
2018,40,0.6477999999999998,5.372582125942794
2018,41,-1.8207999999999998,2.524847064675403
2018,42,1.1849999999999998,5.402132310486295
2018,43,1.9183999999999997,4.291656067300827
2018,44,-1.3846,4.567982574397587
2018,45,1.6812,4.813411596778319
2018,46,1.1275,9.077940460258594
2018,47,0.9616,5.777785198499508
2018,48,-1.4440000000000002,4.044720591915673
2018,49,0.7247999999999999,1.8360541114030382
2018,50,-2.5582000000000003,4.97986964688836
2018,51,1.95625,0.8645219777426136
2018,52,1.531,0.0
2019,00,-1.8823333333333334,7.55592312913077
2019,01,2.4002,4.622673328280942
2019,02,1.7192,2.242810781140487
2019,03,1.1517499999999998,4.539786072419418
2019,04,0.4758,2.8538978958610275
2019,05,-0.3748,3.2701858815669786
2019,06,0.38919999999999993,4.160433354832162
2019,07,2.4154999999999998,3.6702797804345466
2019,08,-1.5306000000000002,3.8403187758309856
2019,09,0.008399999999999986,3.6355723483380165
2019,10,0.8741999999999999,2.740411775627889
2019,11,-1.6369999999999998,2.2264315619394184
2019,12,1.9573999999999998,1.803688664930841
2019,13,-0.9461999999999998,3.7152420782500832
2019,14,0.35580000000000006,2.538209546117105
2019,15,-1.153,3.831636986980891
2019,16,0.3822,1.3181214663300191
2019,17,0.46420000000000006,1.336210200529842
2019,18,-1.213,1.9248679175465522
2019,19,-2.0922,3.2918843691721613
2019,20,-1.7318000000000002,2.3481247198562514
2019,21,-0.9842499999999998,1.5731141884809252
2019,22,1.8818000000000001,2.5645715431627174
2019,23,-0.7190000000000001,1.404662592938247
2019,24,1.6136,2.542271189310849
2019,25,1.0768,2.4616923447092245
2019,26,0.7152499999999999,0.48103802690986225
2019,27,-0.4082,0.5215378222142666
2019,28,-1.0622,1.5158593932156108
2019,29,0.5378000000000001,0.8618507411379304
2019,30,-1.5882,2.00600266699723
2019,31,-1.0856000000000001,3.1145650258101854
2019,32,0.877,1.955814152725151
2019,33,0.2526,1.2199236861377847
2019,34,-0.8703999999999998,2.7395759343372834
2019,35,0.77325,3.74441133557733
2019,36,0.8328,2.037014776578707
2019,37,0.2684,1.0054040481318942
2019,38,-1.2188,2.758841187890307
2019,39,-0.5595999999999999,2.2038131272864314
2019,40,0.6584,2.2335826154409424
2019,41,0.059399999999999994,0.9510543097005554
2019,42,1.5342,3.155167459898127
2019,43,1.1972,1.9023359850457542
2019,44,0.16799999999999998,2.379170969056238
2019,45,0.17039999999999997,1.8740603778960805
2019,46,-0.09319999999999999,3.5718345006452914
2019,47,1.026,0.7482784686643514
2019,48,-0.09479999999999986,2.8564438905744325
2019,49,0.8474,1.684399240085319
2019,50,0.0504,1.172629651680359
2019,51,0.4245,1.5321928729765062
2019,52,1.036,0.1626345596729059
2020,00,8.9535,5.033893175267032
2020,01,-0.39220000000000005,4.781028989663208
2020,02,1.1485999999999998,1.916708063321068
2020,03,-1.08525,1.3528775197087626
2020,04,-0.21619999999999986,2.818146766937449
2020,05,3.2036000000000002,7.1665909817709
2020,06,2.8076,1.4137927005045683
2020,07,-1.5655000000000001,3.6292012436163783
2020,08,-0.8780000000000001,2.792408458660731
2020,09,0.8675999999999998,5.020479688236971
2020,10,-2.541,4.24622915067004
2020,11,-2.5880000000000005,8.507869651093628
2020,12,1.9296,4.9787818088363744
2020,13,1.7614,1.9100629047232973
2020,14,2.7405,2.9633837078582994
2020,15,1.5947999999999998,2.6280906947820504
2020,16,-0.7811999999999999,5.062190306576788
2020,17,-1.8791999999999998,4.115481527111985
2020,18,2.9096,1.7344443778916632
2020,19,1.2866,2.3740743038076966
2020,20,1.5242,6.386324858633484
2020,21,-0.3912499999999999,4.445732288761137
2020,22,1.2634,2.14023066513869
2020,23,0.8652,4.581045099101296
2020,24,4.5161999999999995,1.3605714608207833
2020,25,-0.05279999999999994,3.0314394600585377
2020,26,1.995,0.22876042781332032
2020,27,-0.15299999999999989,5.164335823704729
2020,28,-2.4902,1.3715497439028599
2020,29,-0.8268000000000001,3.445514722069839
2020,30,1.7104,2.8535849032401335
2020,31,-0.8428000000000001,4.418749902404525
2020,32,-0.00339999999999997,1.6609076735327584
2020,33,1.6143999999999998,2.5407706114484245
2020,34,1.1432,4.88991402787411
2020,35,0.00820000000000023,6.510744250851818
2020,36,-2.1502499999999998,3.5432722517469637
2020,37,0.057399999999999896,2.716851817821502
2020,38,-0.40020000000000006,1.6868096217415882
2020,39,-0.16920000000000002,2.30194737124896
2020,40,3.065,4.557122282756959
2020,41,-1.9213999999999998,3.6203689452872063
2020,42,0.29280000000000006,1.6890247777933869
