Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
9.800000190734863,11.260000228881836,9.619999885559082,11.239999771118164,11.239999771118164,23929600,0.0,2018-03-28,12,2018,28,Wednesday,-1.0675,1.509672977833279
11.5,11.800000190734863,10.649999618530273,11.0,11.0,5863900,-2.135,2018-03-29,12,2018,29,Thursday,-1.0675,1.509672977833279
11.050000190734863,11.5,10.90999984741211,11.0,11.0,2771000,0.0,2018-04-02,13,2018,2,Monday,-0.10819999999999999,0.5132895868805445
11.5,11.5,10.791000366210938,10.90999984741211,10.90999984741211,2509600,-0.818,2018-04-03,13,2018,3,Tuesday,-0.10819999999999999,0.5132895868805445
10.75,11.079999923706055,10.550000190734863,10.970000267028809,10.970000267028809,1498200,0.55,2018-04-04,13,2018,4,Wednesday,-0.10819999999999999,0.5132895868805445
11.0,11.048999786376953,10.75,10.979999542236328,10.979999542236328,893300,0.091,2018-04-05,13,2018,5,Thursday,-0.10819999999999999,0.5132895868805445
10.949999809265137,11.029999732971191,10.850000381469727,10.9399995803833,10.9399995803833,684700,-0.364,2018-04-06,13,2018,6,Friday,-0.10819999999999999,0.5132895868805445
11.0,11.6899995803833,10.960000038146973,11.100000381469727,11.100000381469727,2648400,1.463,2018-04-09,14,2018,9,Monday,0.8440000000000001,2.0414229106189636
11.449999809265137,11.59000015258789,11.25,11.5,11.5,2198200,3.604,2018-04-10,14,2018,10,Tuesday,0.8440000000000001,2.0414229106189636
11.579999923706055,11.59000015258789,11.029999732971191,11.479999542236328,11.479999542236328,1497800,-0.174,2018-04-11,14,2018,11,Wednesday,0.8440000000000001,2.0414229106189636
11.529999732971191,11.760000228881836,11.350000381469727,11.619999885559082,11.619999885559082,2075200,1.22,2018-04-12,14,2018,12,Thursday,0.8440000000000001,2.0414229106189636
11.600000381469727,11.6899995803833,11.319999694824219,11.399999618530273,11.399999618530273,803800,-1.893,2018-04-13,14,2018,13,Friday,0.8440000000000001,2.0414229106189636
11.40999984741211,11.5,11.329999923706055,11.329999923706055,11.329999923706055,562000,-0.614,2018-04-16,15,2018,16,Monday,-0.3694,0.6634725314585375
